CopiedTimestamp,SourceFile,DestinationFile,FileSize,SourceFileSha1,DeferredCopy,CreatedOnUtc,ModifiedOnUtc,LastAccessedOnUtc,CopyDuration
2024-09-06 13:17:49.6627394,E:\Windows\System32\winevt\logs\Active Directory Web Services.evtx,D:\challengeeeeee\E\Windows\System32\winevt\logs\Active Directory Web Services.evtx,69632,72E90FCA143C3D1CB9A533506AE617F865C47AE4,False,2024-09-06 11:50:24.8892835,2024-09-06 13:01:17.9448605,2024-09-06 11:50:24.8892835,00:00:00.0102726
2024-09-06 13:17:49.7217807,E:\Windows\System32\winevt\logs\Application.evtx,D:\challengeeeeee\E\Windows\System32\winevt\logs\Application.evtx,1118208,3966658A5B1652DBC3B6D65D3FDAB6DCCE4265EB,False,2024-09-06 21:47:05.6144458,2024-09-06 13:00:52.9224166,2024-09-06 21:47:05.6144458,00:00:00.0059540
2024-09-06 13:17:49.7267404,E:\Windows\System32\winevt\logs\DFS Replication.evtx,D:\challengeeeeee\E\Windows\System32\winevt\logs\DFS Replication.evtx,69632,D74B31A13C366FCBEB07A28D894DA5E7A31E5392,False,2024-09-06 11:50:25.0140837,2024-09-06 13:01:18.1320609,2024-09-06 11:50:25.0140837,00:00:00.0020017
2024-09-06 13:17:49.7317197,E:\Windows\System32\winevt\logs\Directory Service.evtx,D:\challengeeeeee\E\Windows\System32\winevt\logs\Directory Service.evtx,69632,7BDE95AB2005E1A46E88444F2ECD2CCB2E9152EA,False,2024-09-06 11:50:25.0296837,2024-09-06 13:00:52.9224166,2024-09-06 11:50:25.0296837,00:00:00.0029909
2024-09-06 13:17:49.7427362,E:\Windows\System32\winevt\logs\DNS Server.evtx,D:\challengeeeeee\E\Windows\System32\winevt\logs\DNS Server.evtx,69632,384CA6EA0982BD2EBE0372A9338471B4500F71D5,False,2024-09-06 12:04:37.3367047,2024-09-06 13:01:23.2956699,2024-09-06 12:04:37.3367047,00:00:00.0058972
2024-09-06 13:17:49.7507148,E:\Windows\System32\winevt\logs\File Replication Service.evtx,D:\challengeeeeee\E\Windows\System32\winevt\logs\File Replication Service.evtx,69632,47B3EBC0D42088F806A4B637A83CF1A5544523BB,False,2024-09-06 12:05:09.6911615,2024-09-06 13:01:18.3192612,2024-09-06 12:05:09.6911615,00:00:00.0028128
2024-09-06 13:17:49.7560563,E:\Windows\System32\winevt\logs\HardwareEvents.evtx,D:\challengeeeeee\E\Windows\System32\winevt\logs\HardwareEvents.evtx,69632,F758E5A5DAB1D36F89BFEBA8036F3711982F0A11,False,2024-09-06 21:47:05.6144458,2024-09-06 21:49:18.0430784,2024-09-06 21:47:05.6144458,00:00:00.0029834
2024-09-06 13:17:49.7609913,E:\Windows\System32\winevt\logs\Internet Explorer.evtx,D:\challengeeeeee\E\Windows\System32\winevt\logs\Internet Explorer.evtx,69632,EAC28531864DC4D8292E8A56693C8E4570F20B68,False,2024-09-06 21:47:05.6144458,2024-09-06 21:49:18.0430784,2024-09-06 21:47:05.6144458,00:00:00.0028524
2024-09-06 13:17:49.7669340,E:\Windows\System32\winevt\logs\Key Management Service.evtx,D:\challengeeeeee\E\Windows\System32\winevt\logs\Key Management Service.evtx,69632,309BD81F84FBECE7F8619804CCC826C3177BC90E,False,2024-09-06 21:47:05.6144458,2024-09-06 21:49:18.0430784,2024-09-06 21:47:05.6144458,00:00:00.0029926
2024-09-06 13:17:49.7769078,E:\Windows\System32\winevt\logs\Microsoft-Windows-BitLocker-DrivePreparationTool%4Admin.evtx,D:\challengeeeeee\E\Windows\System32\winevt\logs\Microsoft-Windows-BitLocker-DrivePreparationTool%4Admin.evtx,69632,2EB19D00580F671483EF73C63DECEAA77298A86E,False,2024-09-06 12:23:35.4652895,2024-09-06 12:28:26.8114013,2024-09-06 12:23:35.4652895,00:00:00.0069815
2024-09-06 13:17:49.7848856,E:\Windows\System32\winevt\logs\Microsoft-Windows-BitLocker-DrivePreparationTool%4Operational.evtx,D:\challengeeeeee\E\Windows\System32\winevt\logs\Microsoft-Windows-BitLocker-DrivePreparationTool%4Operational.evtx,69632,9163BAF30441D79D131AD44E5DA357975A8DD59A,False,2024-09-06 12:23:35.4652895,2024-09-06 12:28:26.8114013,2024-09-06 12:23:35.4652895,00:00:00.0029920
2024-09-06 13:17:49.7898735,E:\Windows\System32\winevt\logs\Microsoft-Windows-Bits-Client%4Operational.evtx,D:\challengeeeeee\E\Windows\System32\winevt\logs\Microsoft-Windows-Bits-Client%4Operational.evtx,69632,FFBB61AA70545F5C426D35863CEFE893D8BAD608,False,2024-09-06 21:49:07.4506598,2024-09-06 13:00:30.2710171,2024-09-06 21:49:07.4506598,00:00:00.0029935
